dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-01-04,2025-01-04 11:52:35,CUST000000131790,647190,1,2000000481272,Two,INR,951,9%,209,web,
2025-01-04,2025-01-04 00:44:58,CUST000000089839,647191,1,2000000239811,1,SGD,61,2%,8,web,FEST20
2025-01-04,2025-01-04 01:09:31,CUST000000009749,647192,1,2000000218403,1,INR,2940,6%,333,web,
2025-01-04,2025-01-04 13:44:05,CUST000000285994,647193,1,2000000342450,1,USD,$636,0%,32,app,
2025-01-04,2025-01-04 13:44:05,CUST000000285994,647193,2,2000000063577,1,USD,$480,5%,23,app,
2025-01-04,2025-01-04 12:52:08,CUST000000210400,647194,1,2000000092775,1,INR,2758,9%,302,web,
2025-01-04,2025-01-04 06:33:15,CUST000000215171,647195,1,2000000392196,Two,USD,$127,2%,30,app,
2025-01-04,2025-01-04 06:33:15,CUST000000215171,647195,2,2000000298092,1,USD,$850,8%,40,app,
2025-01-04,2025-01-04 06:33:15,CUST000000215171,647195,3,2000000001692,1,USD,$31,0%,2,app,
2025-01-04,2025-01-04 06:33:15,CUST000000215171,647195,4,2000000165257,1,USD,$5,18%,1,app,
2025-01-04,2025-01-04 12:00:48,CUST000000011428,647196,1,2000000216713,1,GBP,31,12%,4,web,NEW10
2025-01-04,2025-01-04 12:00:48,CUST000000011428,647196,2,2000000317663,1,GBP,4,0%,1,web,NEW10
2025-01-04,2025-01-04 12:00:48,CUST000000011428,647196,3,2000000456980,1,GBP,109,18%,11,web,NEW10
2025-01-04,2025-01-04 03:17:00,CUST000000112321,647197,1,2000000303383,1,INR,12617,0%,1515,web,PRIME5
2025-01-04,2025-01-04 03:17:00,CUST000000112321,647197,2,2000000499451,1,INR,27869,16%,2822,web,PRIME5
2025-01-04,2025-01-04 04:37:21,CUST000000195964,647198,1,2000000099705,1,CAD,33,6%,4,app,
2025-01-04,2025-01-04 05:36:12,CUST000000050785,647199,1,2000000484785,4,INR,1135,7%,510,web,PRIME5
2025-01-04,2025-01-04 08:53:06,CUST000000297817,647200,1,2000000365251,Two,INR,3923,22%,732,web,
2025-01-04,2025-01-04 23:44:52,CUST000000199532,647201,1,2000000304748,Two,GBP,17,12%,4,app,
2025-01-04,2025-01-04 03:12:26,CUST000000054821,647202,1,2000000060439,Two,SGD,47,0%,12,app,PRIME5
2025-01-04,2025-01-04 03:12:26,CUST000000054821,647202,2,2000000442211,1,SGD,5,12%,1,app,PRIME5
2025-01-04,2025-01-04 16:03:22,CUST000000109402,647203,1,2000000195292,1,SGD,79,6%,10,app,
2025-01-04,2025-01-04 07:54:48,CUST000000199827,647204,1,2000000264400,1,INR,51507,10%,5548,app,
2025-01-04,2025-01-04 07:54:48,CUST000000199827,647204,2,2000000043982,1,INR,2460,20%,237,app,
2025-01-04,2025-01-04 07:54:48,CUST000000199827,647204,3,2000000167503,Two,INR,41823,13%,3657,app,
2025-01-04,2025-01-04 17:05:20,CUST000000187755,647205,1,2000000249384,1,USD,$26,9%,3,web,
2025-01-04,2025-01-04 09:47:47,CUST000000109034,647206,1,2000000412955,1,SGD,6,15%,1,app,
2025-01-04,2025-01-04 10:40:12,CUST000000157231,647207,1,2000000272535,1,AUD,62,0%,4,web,
2025-01-04,2025-01-04 02:27:46,CUST000000058242,647208,1,2000000037158,Two,AED,93,2%,22,web,NEW10
2025-01-04,2025-01-04 09:30:43,CUST000000212089,647209,1,2000000460529,1,INR,3915,3%,458,app,
2025-01-04,2025-01-04 15:26:42,CUST000000082426,647210,1,2000000276823,3,INR,2968,13%,388,web,
2025-01-04,2025-01-04 15:26:42,CUST000000082426,647210,2,2000000027333,1,INR,8509,2%,1006,web,
2025-01-04,2025-01-04 20:45:55,CUST000000093468,647211,1,2000000151144,Two,CAD,26,7%,6,app,
2025-01-04,2025-01-04 20:45:55,CUST000000093468,647211,2,2000000308388,4,CAD,7,7%,4,app,
2025-01-04,2025-01-04 20:45:55,CUST000000093468,647211,3,2000000242262,Two,CAD,626,8%,139,app,
2025-01-04,2025-01-04 20:45:55,CUST000000093468,647211,4,2000000380407,1,CAD,128,1%,16,app,
2025-01-04,2025-01-04 04:29:30,CUST000000287330,647212,1,2000000386706,1,INR,1593,22%,149,app,
2025-01-04,2025-01-04 08:35:05,CUST000000190842,647213,1,2000000011998,3,INR,1149,9%,158,app,FEST20
2025-01-04,2025-01-04 19:54:44,CUST000000018958,647214,1,2000000204635,1,INR,552,2%,98,app,
2025-01-04,2025-01-04 18:58:19,CUST000000009329,647215,1,2000000391588,1,SGD,25,9%,5,app,
2025-01-04,2025-01-04 18:58:19,CUST000000009329,647215,2,2000000217536,1,SGD,35,9%,4,app,
2025-01-04,2025-01-04 18:58:19,CUST000000009329,647215,3,2000000477305,4,SGD,36,0%,18,app,
2025-01-04,2025-01-04 18:58:19,CUST000000009329,647215,4,2000000168227,Two,SGD,599,2%,142,app,
2025-01-04,2025-01-04 18:58:19,CUST000000009329,647215,5,2000000389677,1,SGD,77,7%,14,app,
2025-01-04,2025-01-04 08:20:56,CUST000000163014,647216,1,2000000200958,1,SGD,140,4%,7,app,FEST20
2025-01-04,2025-01-04 15:51:52,CUST000000265934,647217,1,2000000129754,1,INR,32468,13%,3386,app,NEW10
2025-01-04,2025-01-04 15:51:52,CUST000000265934,647217,2,2000000354972,1,INR,4603,18%,189,app,NEW10
2025-01-04,2025-01-04 15:51:52,CUST000000265934,647217,3,2000000278322,1,INR,5977,9%,981,app,NEW10
2025-01-04,2025-01-04 15:51:52,CUST000000265934,647217,4,2000000165622,Two,INR,206,13%,19,app,NEW10
2025-01-04,2025-01-04 13:13:36,CUST000000080890,647218,1,2000000421582,1,GBP,268,1%,32,web,
2025-01-04,2025-01-04 15:56:06,CUST000000115559,647219,1,2000000352763,1,INR,5655,27%,207,app,
2025-01-04,2025-01-04 15:56:06,CUST000000115559,647219,2,2000000248783,Two,INR,3650,1%,868,app,
2025-01-04,2025-01-04 15:56:06,CUST000000115559,647219,3,2000000091853,1,INR,14873,10%,2420,app,
2025-01-04,2025-01-04 01:32:01,CUST000000274771,647220,1,2000000444314,1,INR,9788,19%,949,web,NEW10
2025-01-04,2025-01-04 16:45:40,CUST000000062419,647221,1,2000000030760,4,INR,328,16%,133,app,FEST20
2025-01-04,2025-01-04 05:04:24,CUST000000106837,647222,1,2000000444970,1,INR,953,7%,159,web,
2025-01-04,2025-01-04 05:04:24,CUST000000106837,647222,2,2000000248264,1,INR,4650,1%,554,web,
2025-01-04,2025-01-04 08:13:31,CUST000000098332,647223,1,2000000289687,1,SGD,41,16%,5,web,PRIME5
2025-01-04,2025-01-04 08:13:31,CUST000000098332,647223,2,2000000149424,1,SGD,52,7%,6,web,PRIME5
2025-01-04,2025-01-04 14:21:08,CUST000000148997,647224,1,2000000119373,Two,INR,12931,0%,1294,web,
2025-01-04,2025-01-04 14:21:08,CUST000000148997,647224,2,2000000438139,Two,INR,105292,4%,24176,web,
2025-01-04,2025-01-04 11:14:06,CUST000000190414,647225,1,2000000428512,1,INR,114185,0%,5710,app,
2025-01-04,2025-01-04 12:23:52,CUST000000219176,647226,1,2000000192741,1,USD,$168,10%,8,app,FEST20
2025-01-04,2025-01-04 12:23:52,CUST000000219176,647226,2,2000000477558,1,USD,$43,6%,5,app,FEST20
2025-01-04,2025-01-04 12:23:52,CUST000000219176,647226,3,2000000409023,1,USD,$84,5%,4,app,FEST20
2025-01-04,2025-01-04 12:23:52,CUST000000219176,647226,4,2000000242019,Two,USD,$138,8%,13,app,FEST20
2025-01-04,2025-01-04 12:23:52,CUST000000219176,647226,5,2000000495828,1,USD,$98,7%,5,app,FEST20
2025-01-04,2025-01-04 07:42:04,CUST000000024787,647227,1,2000000319520,1,SGD,196,9%,22,app,
2025-01-04,2025-01-04 14:48:33,CUST000000093759,647228,1,2000000281377,Two,INR,25989,13%,5425,app,FEST20
2025-01-04,2025-01-04 14:48:33,CUST000000093759,647228,2,2000000362311,1,INR,1930,0%,232,app,FEST20
2025-01-04,2025-01-04 14:48:33,CUST000000093759,647228,3,2000000228037,1,INR,1868,16%,189,app,FEST20
2025-01-04,2025-01-04 14:48:33,CUST000000093759,647228,4,2000000343099,Two,INR,16021,14%,3322,app,FEST20
2025-01-04,2025-01-04 15:13:55,CUST000000046714,647229,1,2000000290898,Two,GBP,919,12%,82,app,
2025-01-04,2025-01-04 15:13:55,CUST000000046714,647229,2,2000000356235,1,GBP,130,9%,6,app,
2025-01-04,2025-01-04 09:01:25,CUST000000021506,647230,1,2000000130262,1,INR,3306,2%,162,app,
2025-01-04,2025-01-04 09:01:25,CUST000000021506,647230,2,2000000069951,1,INR,10611,0%,1274,app,
2025-01-04,2025-01-04 09:01:25,CUST000000021506,647230,3,2000000457505,1,INR,4265,0%,512,app,
2025-01-04,2025-01-04 09:01:25,CUST000000021506,647230,4,2000000200798,1,INR,1291,0%,155,app,
2025-01-04,2025-01-04 13:46:39,CUST000000230652,647231,1,2000000082165,1,INR,803,9%,37,app,
2025-01-04,2025-01-04 13:46:39,CUST000000230652,647231,2,2000000352756,1,INR,5598,7%,262,app,
2025-01-04,2025-01-04 13:46:39,CUST000000230652,647231,3,2000000148878,Two,INR,1570,0%,377,app,
2025-01-04,2025-01-04 23:44:16,CUST000000012720,647232,1,2000000377353,Two,CAD,71,18%,15,app,NEW10
2025-01-04,2025-01-04 23:44:16,CUST000000012720,647232,2,2000000168241,1,CAD,34,3%,5,app,NEW10
2025-01-04,2025-01-04 05:05:40,CUST000000289713,647233,1,2000000004716,Two,USD,$1002,3%,233,web,
2025-01-04,2025-01-04 18:28:33,CUST000000235663,647234,1,2000000400655,1,INR,104,16%,5,web,
2025-01-04,2025-01-04 18:28:33,CUST000000235663,647234,2,2000000401096,1,INR,11973,0%,1437,web,
2025-01-04,2025-01-04 18:28:33,CUST000000235663,647234,3,2000000321431,1,INR,5016,10%,545,web,
2025-01-04,2025-01-04 22:47:27,CUST000000256788,647235,1,2000000098678,Two,INR,234,18%,47,app,
2025-01-04,2025-01-04 16:08:16,CUST000000118620,647236,1,2000000315072,1,INR,8534,8%,945,web,FEST20
2025-01-04,2025-01-04 14:25:02,CUST000000043022,647237,1,2000000008479,1,AED,67,8%,8,app,
2025-01-04,2025-01-04 02:47:43,CUST000000089212,647238,1,2000000044545,Two,SGD,999,20%,81,app,
2025-01-04,2025-01-04 17:26:14,CUST000000013553,647239,1,2000000487212,1,INR,643,6%,31,app,FEST20
2025-01-04,2025-01-04 17:26:14,CUST000000013553,647239,2,2000000170794,1,INR,106298,2%,5227,app,FEST20
2025-01-04,2025-01-04 22:26:12,CUST000000040899,647240,1,2000000102597,1,INR,5834,0%,1051,web,
2025-01-04,2025-01-04 14:50:26,CUST000000178038,647241,1,2000000373232,1,USD,$40,10%,7,app,
2025-01-04,2025-01-04 14:50:26,CUST000000178038,647241,2,2000000107172,1,USD,$15,3%,3,app,
2025-01-04,2025-01-04 14:50:26,CUST000000178038,647241,3,2000000300337,1,USD,$23,3%,2,app,
2025-01-04,2025-01-04 05:53:53,CUST000000298762,647242,1,2000000434124,Two,GBP,129,6%,30,web,
2025-01-04,2025-01-04 00:25:21,CUST000000199805,647243,1,2000000321325,1,SGD,1000,5%,171,app,NEW10
2025-01-04,2025-01-04 00:25:21,CUST000000199805,647243,2,2000000128474,3,SGD,46,18%,6,app,NEW10
2025-01-04,2025-01-04 04:35:45,CUST000000113388,647244,1,2000000153025,Two,USD,$25,0%,3,web,
2025-01-04,2025-01-04 04:35:45,CUST000000113388,647244,2,2000000013060,1,USD,$31,14%,2,web,
2025-01-04,2025-01-04 20:06:29,CUST000000272417,647245,1,2000000208329,Two,GBP,355,19%,104,web,PRIME5
2025-01-04,2025-01-04 16:11:49,CUST000000270261,647246,1,2000000321790,1,AED,189,5%,22,app,
2025-01-04,2025-01-04 08:04:33,CUST000000061536,647247,1,2000000336558,1,INR,1640,8%,76,app,PRIME5
2025-01-04,2025-01-04 08:04:33,CUST000000061536,647247,2,2000000154459,1,INR,4279,21%,406,app,PRIME5
2025-01-04,2025-01-04 08:04:33,CUST000000061536,647247,3,2000000029696,3,INR,2684,11%,359,app,PRIME5
2025-01-04,2025-01-04 10:10:14,CUST000000167529,647248,1,2000000289083,1,AED,22,11%,2,web,
2025-01-04,2025-01-04 10:10:14,CUST000000167529,647248,2,2000000281728,1,AED,150,0%,28,web,
2025-01-04,2025-01-04 22:00:45,CUST000000131056,647249,1,2000000106854,1,CAD,138,18%,14,app,
2025-01-04,2025-01-04 05:15:23,CUST000000103755,647250,1,2000000362052,1,INR,3359,17%,139,app,PRIME5
2025-01-04,2025-01-04 05:15:23,CUST000000103755,647250,2,2000000133522,1,INR,823,5%,39,app,PRIME5
2025-01-04,2025-01-04 18:05:22,CUST000000240798,647251,1,2000000487427,1,SGD,1211,9%,133,app,FEST20
2025-01-04,2025-01-04 18:05:22,CUST000000240798,647251,2,2000000319124,1,SGD,77,13%,4,app,FEST20
2025-01-04,2025-01-04 18:05:22,CUST000000240798,647251,3,2000000076973,1,SGD,71,4%,4,app,FEST20
2025-01-04,2025-01-04 06:16:04,CUST000000197439,647252,1,2000000057002,1,CAD,1775,18%,263,app,
2025-01-04,2025-01-04 00:47:43,CUST000000008577,647253,1,2000000185170,1,AED,303,0%,37,app,NEW10
2025-01-04,2025-01-04 00:47:43,CUST000000008577,647253,2,2000000003566,1,AED,81,3%,15,app,NEW10
2025-01-04,2025-01-04 16:32:02,CUST000000035207,647254,1,2000000116365,1,INR,1531,7%,71,web,
2025-01-04,2025-01-04 15:20:24,CUST000000102519,647255,1,2000000445236,1,INR,1892,0%,228,web,PRIME5
2025-01-04,2025-01-04 08:22:55,CUST000000121121,647256,1,2000000215129,1,INR,5959,14%,926,app,FEST20
2025-01-04,2025-01-04 01:22:13,CUST000000202748,647257,1,2000000149929,Two,USD,$76,11%,17,app,
2025-01-04,2025-01-04 01:22:13,CUST000000202748,647257,2,2000000265827,Two,USD,$124,0%,45,app,
2025-01-04,2025-01-04 01:22:13,CUST000000202748,647257,3,2000000177670,1,USD,$11,12%,2,app,
2025-01-04,2025-01-04 01:22:13,CUST000000202748,647257,4,2000000393315,1,USD,$83,12%,14,app,
2025-01-04,2025-01-04 04:42:13,CUST000000007835,647258,1,2000000406626,1,INR,1393,15%,214,web,
2025-01-04,2025-01-04 20:14:29,CUST000000169956,647259,1,2000000464800,3,INR,2147,14%,996,app,
2025-01-04,2025-01-04 20:14:29,CUST000000169956,647259,2,2000000079059,Two,INR,10550,24%,1936,app,
2025-01-04,2025-01-04 13:51:52,CUST000000107746,647260,1,2000000358215,1,INR,4605,11%,205,web,
2025-01-04,2025-01-04 11:48:14,CUST000000134880,647261,1,2000000481449,1,SGD,13,20%,2,app,
2025-01-04,2025-01-04 11:48:14,CUST000000134880,647261,2,2000000435459,3,SGD,179,9%,89,app,
2025-01-04,2025-01-04 11:48:14,CUST000000134880,647261,3,2000000153049,3,SGD,28,17%,4,app,
2025-01-04,2025-01-04 11:48:14,CUST000000134880,647261,4,2000000446172,1,SGD,89,4%,11,app,
2025-01-04,2025-01-04 10:31:38,CUST000000267109,647262,1,2000000151946,Two,USD,$12,3%,2,web,
2025-01-04,2025-01-04 10:31:38,CUST000000267109,647262,2,2000000146430,1,USD,$121,3%,15,web,
2025-01-04,2025-01-04 13:43:27,CUST000000039156,647263,1,2000000051055,1,USD,$136,3%,16,app,
